31.681 - 34.172:  Tchau.
39.121 - 63.387:  Salve, salve família! Bem-vindos a mais um Flow. Eu sou o Igor e hoje a gente vai conversar aqui com a Jéssica Campara e com o Primo Pobre. Eu vou te... Pô, Primo Pobre? Eu fico, pô, chamo de primo, chamo de pobre, chamo de... É Duda, chama de Duda, né? Vou chamar de Duda, é. E a gente vai falar hoje sobre a relação que existe entre dinheiro, saúde mental, esse tipo de coisa aí, né? Então, obrigado pela presença de vocês, pô.
63.865 - 82.978:  Imagina, um prazer enorme estar aqui e ainda mais trazer esse tipo de discussão, estar com o Duda junto também, trazendo esse tipo de discussão que é dinheiro, saúde mental, mentalidade, que eu acho que são coisas que por vezes são negligenciadas e quando a gente olha, a gente entende e começa a melhorar. Então, muito obrigada pelo convite, um prazer enorme estar aqui. Valeu.
82.978 - 109.77:  E é bom estar aqui também com a Jéssica, né? Porque para quem não sabe, a Jéssica é PHD em Finanças Comportamentais. Então, quando eu falo, ninguém dá moral, né? Pô, Duda, você não tem nem ensino médio. Mas você tem conhecimento de causa. Você é pobre, né? Tem experiência de vida, né? Aí eu acho legal, porque uma vez eu gravei um programa com a Jéssica, né? E é interessante que talvez a gente não vai concordar com tudo. Mas muito do que eu falo...
109.77 - 117.295:  ela concorda e ela dá um ponto de vista muito mais estruturado, até pela ciência, pelas pesquisas e tal.
117.568 - 146.391:  que acaba dando um pouco mais de força pros meus argumentos como uma pessoa que não tem mestrado, PHD, nem malemar, tem o ensino médio. Mas tem Jesus Cristo ali. Eu tenho Jesus Cristo. Inclusive, eu trouxe essa blusa aqui, ó. Porque no último episódio que eu vim, falaram que você falou muito palavrão. Tá. Viu? Então eu trouxe aqui pra ver se te constrange até um linguajar mais polido. Brincadeira, mas tá zoando. Cara, eu vou tentar. Vamos ver. Eu duvido, eu duvido. Eu também, mas eu vou tentar, tá bom? Assim, Jesus Cristo não tem problema com tabaco, né? É.
146.391 - 173.285:  Foi ele que criou, teoricamente. Jesus odeia o pecado, mas ama o pecador. É isso então. Bom, mas antes da gente continuar, deixa eu ter uns recados aqui para vocês. Bom, começando, deixa eu falar para vocês aqui, por exemplo, que o Bitcoin é um excelente jeito de você manter o teu poder de compra ali. Pode ser visto também como um bom lugar para você colocar um dinheiro a longo prazo,
173.285 - 200.879:  Não sei se você for... Depende muito das suas necessidades, no entanto. Não é talvez a primeira coisa que você esteja pensando ou que você deveria estar pensando. Mas se você quiser experimentar, o melhor jeito é usando a Bipa, que é uma conta digital que você consegue comprar Bitcoin lá a partir de R$1 e pelo Pix ainda por cima. E tem uma parada maneira. Se você usar o cupom 100FLOW, assim, 100FLOW,
200.879 - 227.585:  Você tem uma... Você tem um cashback lá. Se você colocar... Começa com 10 reais. Você coloca pelo menos 10 reais em Bitcoin e você já ganha 5 reais e aí você vai... E você continua ganhando até chegar a 100 reais em Bitcoin. Tá bom? Então, se você não conhece, mas se você quiser entender melhor sobre esse mundo aí e começar aí pequeno, né? Vai lá conhecer a Bipa. O link tá aqui na descrição e tá no QR Code aí também. Beleza? E uma outra parada. Cara...
227.722 - 256.561:  Várias pessoas sabem coisas muito interessantes, né? A gente tava conversando aqui antes sobre o cara que manja de fazer... Ele ensina pessoas a criar abelhas sem ferrão, né? Tem pessoas que, sei lá, tem costureiras que ensinam como, sei lá, fazer coisas, roupas customizadas, né? Então, assim, se você sabe alguma coisa, cara, o melhor lugar pra você começar a ensinar essas coisas é até ganhar uma grana. De repente, você nunca pensou nisso, né? Uhum.
256.561 - 274.872:  Você sabe fazer uma parada que você tem uma habilidade que poucas pessoas têm e você nunca pensou em monetizar isso daí. O melhor lugar e as melhores ferramentas que você encontra é na Hotmart, tá bom? Lá você tem todo um ecossistema criado para você que sabe fazer o conteúdo. Só pensar, só se preocupar com o conteúdo e eles lidam com todo o resto.
